     T(MeV)         phi_e         thetah           tnuh           nbh              N              P             H2            He4
 .9472049D-02  0.2723930D+02  0.1316948D-24  0.7149575D+00  0.9515871D-15  0.1808378D-08  0.7530400D+00  0.1894294D-04  0.6171862D-01
 .9404412D-02  0.2761679D+02  0.1298207D-24  0.7149575D+00  0.9313471D-15  0.1753215D-08  0.7530400D+00  0.1894090D-04  0.6171862D-01
 .9337051D-02  0.2799825D+02  0.1279676D-24  0.7149575D+00  0.9114772D-15  0.1699300D-08  0.7530400D+00  0.1893890D-04  0.6171862D-01
 .9270312D-02  0.2838173D+02  0.1261448D-24  0.7149575D+00  0.8920714D-15  0.1646890D-08  0.7530400D+00  0.1893695D-04  0.6171862D-01
 .9204023D-02  0.2876820D+02  0.1243472D-24  0.7149575D+00  0.8730711D-15  0.1595822D-08  0.7530400D+00  0.1893504D-04  0.6171862D-01
 .9138185D-02  0.2915767D+02  0.1225746D-24  0.7149575D+00  0.8544690D-15  0.1546076D-08  0.7530400D+00  0.1893318D-04  0.6171862D-01
 .9072798D-02  0.2955013D+02  0.1208268D-24  0.7149575D+00  0.8362580D-15  0.1497629D-08  0.7530400D+00  0.1893136D-04  0.6171862D-01
 .9008024D-02  0.2994462D+02  0.1191077D-24  0.7149575D+00  0.8184743D-15  0.1450575D-08  0.7530400D+00  0.1892959D-04  0.6171862D-01
 .8943541D-02  0.3034307D+02  0.1174086D-24  0.7149575D+00  0.8010230D-15  0.1404660D-08  0.7530400D+00  0.1892785D-04  0.6171862D-01
 .8879512D-02  0.3074453D+02  0.1157335D-24  0.7149575D+00  0.7839417D-15  0.1359978D-08  0.7530400D+00  0.1892616D-04  0.6171862D-01
 .8816090D-02  0.3114800D+02  0.1140861D-24  0.7149575D+00  0.7672632D-15  0.1316612D-08  0.7530400D+00  0.1892451D-04  0.6171862D-01
 .8752967D-02  0.3155545D+02  0.1124583D-24  0.7149575D+00  0.7509001D-15  0.1274329D-08  0.7530400D+00  0.1892289D-04  0.6171862D-01
 .8690445D-02  0.3196492D+02  0.1108575D-24  0.7149575D+00  0.7349240D-15  0.1233310D-08  0.7530400D+00  0.1892132D-04  0.6171862D-01
 .8628228D-02  0.3237837D+02  0.1092759D-24  0.7149575D+00  0.7192522D-15  0.1193336D-08  0.7530400D+00  0.1891978D-04  0.6171862D-01
 .8566609D-02  0.3279384D+02  0.1077206D-24  0.7149575D+00  0.7039520D-15  0.1154574D-08  0.7530400D+00  0.1891828D-04  0.6171862D-01
 .8505296D-02  0.3321328D+02  0.1061842D-24  0.7149575D+00  0.6889451D-15  0.1116819D-08  0.7530400D+00  0.1891682D-04  0.6171862D-01
 .8444437D-02  0.3363573D+02  0.1046701D-24  0.7149575D+00  0.6742614D-15  0.1080143D-08  0.7530400D+00  0.1891538D-04  0.6171862D-01
 .8384167D-02  0.3406020D+02  0.1031813D-24  0.7149575D+00  0.6599271D-15  0.1044601D-08  0.7530400D+00  0.1891399D-04  0.6171862D-01
 .8324209D-02  0.3448865D+02  0.1017108D-24  0.7149575D+00  0.6458700D-15  0.1010009D-08  0.7530400D+00  0.1891263D-04  0.6171862D-01
 .8264568D-02  0.3492108D+02  0.1002585D-24  0.7149575D+00  0.6320866D-15  0.9763533D-09  0.7530400D+00  0.1891130D-04  0.6171862D-01
 .8205512D-02  0.3535554D+02  0.9883084D-25  0.7149575D+00  0.6186330D-15  0.9437627D-09  0.7530400D+00  0.1891000D-04  0.6171862D-01
 .8146904D-02  0.3579300D+02  0.9742408D-25  0.7149575D+00  0.6054717D-15  0.9121381D-09  0.7530400D+00  0.1890873D-04  0.6171862D-01
 .8088615D-02  0.3623444D+02  0.9603499D-25  0.7149575D+00  0.5925685D-15  0.8813905D-09  0.7530400D+00  0.1890750D-04  0.6171862D-01
 .8030776D-02  0.3667888D+02  0.9466647D-25  0.7149575D+00  0.5799473D-15  0.8515701D-09  0.7530400D+00  0.1890629D-04  0.6171862D-01
 .7973260D-02  0.3712730D+02  0.9331535D-25  0.7149575D+00  0.5675757D-15  0.8225928D-09  0.7530400D+00  0.1890511D-04  0.6171862D-01
 .7916317D-02  0.3757776D+02  0.9198725D-25  0.7149575D+00  0.5555018D-15  0.7945633D-09  0.7530400D+00  0.1890396D-04  0.6171862D-01
 .7859698D-02  0.3803219D+02  0.9067614D-25  0.7149575D+00  0.5436677D-15  0.7673383D-09  0.7530400D+00  0.1890284D-04  0.6171862D-01
 .7803407D-02  0.3849062D+02  0.8938194D-25  0.7149575D+00  0.5320698D-15  0.7409030D-09  0.7530400D+00  0.1890174D-04  0.6171862D-01
 .7747681D-02  0.3895107D+02  0.8810991D-25  0.7149575D+00  0.5207520D-15  0.7153488D-09  0.7530400D+00  0.1890068D-04  0.6171862D-01
 .7692308D-02  0.3941528D+02  0.8685497D-25  0.7149575D+00  0.5096661D-15  0.6905574D-09  0.7530400D+00  0.1889964D-04  0.6171862D-01
